Year,Player,Result,Min,Gls,Ast,PK,Sh,SoT,CrdY,CrdR,Int,Tkl,xG,xAG,SCA,GCA,SoTA,GA,Saves,Save%,CS,is_goalkeeper,Rank
2000,Thierry Henry,27-11-9,3258.0,28.0,8.0,2.0,,50.02255639097744,7.0,1.0,,,0.7734806629834254,0.2209944751381215,1.3818385743363937,8.0,0.0,0.0,0.0,0.0,0.0,0,4
2000,Alessandro Nesta,27-11-4,3582.0,0.0,7.712062256809339,0.0,,50.02255639097744,6.0,0.0,,,0.0,0.1937704084625462,1.2568481505270714,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,5
2000,Rivaldo,26-6-13,3714.0,22.0,7.712062256809339,3.0,,50.02255639097744,1.0,0.0,,,0.5331179321486268,0.186883576497803,1.2121782647248167,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,6
2000,Gabriel Batistuta,16-14-11,3470.0,29.0,7.712062256809339,0.0,,50.02255639097744,7.0,0.0,,,0.7521613832853025,0.2000246694849684,1.297415007258781,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,7
2000,Gaizka Mendieta,27-11-15,4279.0,20.0,7.712062256809339,11.0,,50.02255639097744,7.0,1.0,,,0.4206590324842252,0.1622074323703763,1.0521220086908083,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,8
2000,Raúl,24-16-13,4595.0,28.0,7.712062256809339,3.0,,50.02255639097744,2.0,0.0,,,0.5484221980413493,0.1510523619396823,0.9797671545566856,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,9
2000,Paolo Maldini,18-13-7,3340.0,1.0,7.712062256809339,0.0,,50.02255639097744,9.0,0.0,,,0.0269461077844311,0.2078100608122277,1.347913196164063,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,10
2000,David Beckham,30-8-8,3949.0,8.0,15.0,0.0,,50.02255639097744,12.0,0.0,,,0.1823246391491516,0.3418586984046594,1.1400430679128817,15.0,0.0,0.0,0.0,0.0,0.0,0,10
2000,Zlatko Zahovič,2-3-4,789.0,5.0,7.712062256809339,0.0,,50.02255639097744,0.0,0.0,,,0.5703422053231939,0.8797029190276812,5.705995025586781,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,12
2000,Francesco Totti,17-11-8,2980.0,10.0,7.712062256809339,5.0,,50.02255639097744,9.0,2.0,,,0.3020134228187919,0.2329146319170605,1.5107483473785133,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,14
2001,Michael Owen,21-10-8,2555.0,20.0,3.0,0.0,,50.02255639097744,0.0,0.0,,,0.7045009784735812,0.1056751467710371,1.762046996159675,3.0,0.0,0.0,0.0,0.0,0.0,0,1
2001,Raúl,29-10-9,4106.0,31.0,7.712062256809339,0.0,,50.02255639097744,3.0,0.0,,,0.6794934242571846,0.1690417932569022,1.0964515526517218,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,2
2001,David Beckham,24-12-7,3633.0,9.0,12.0,1.0,,50.02255639097744,6.0,0.0,,,0.2229562345169281,0.2972749793559042,1.2392045348714478,12.0,0.0,0.0,0.0,0.0,0.0,0,4
2001,Francesco Totti,21-9-4,2869.0,15.0,7.712062256809339,4.0,,50.02255639097744,5.0,0.0,,,0.4705472289996514,0.2419259683209621,1.5691983531502158,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,5
2001,Luís Figo,31-9-8,4156.0,14.0,7.712062256809339,4.0,,50.02255639097744,16.0,0.0,,,0.3031761308950914,0.167008085445823,1.0832603645784336,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,6
2001,Rivaldo,22-15-11,4112.0,34.0,7.712062256809339,7.0,,50.02255639097744,4.0,0.0,,,0.7441634241245136,0.1687951369437841,1.0948516719815102,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,7
2001,Andriy Shevchenko,18-19-11,4224.0,33.0,7.712062256809339,8.0,,50.02255639097744,1.0,0.0,,,0.703125,0.1643195083126989,1.0658215140123035,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,8
2001,Thierry Henry,27-13-10,3896.0,21.0,9.0,1.0,,50.02255639097744,6.0,0.0,,,0.4851129363449692,0.2079055441478439,1.1555518673480416,9.0,0.0,0.0,0.0,0.0,0.0,0,9
2001,Zinedine Zidane,22-12-4,3150.0,6.0,7.712062256809339,1.0,,50.02255639097744,2.0,2.0,,,0.1714285714285714,0.2203446359088382,1.4292158968850697,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,9
2001,Bixente Lizarazu,22-5-3,2363.0,0.0,7.712062256809339,0.0,,50.02255639097744,10.0,1.0,,,0.0,0.2937306826546088,1.9052179751112863,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,11
2001,David Trezeguet,18-10-3,1833.0,16.0,7.712062256809339,0.0,,50.02255639097744,1.0,1.0,,,0.7855973813420621,0.3786609946060232,2.45609933179922,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,12
2001,Stefan Effenberg,17-8-5,2638.0,5.0,7.712062256809339,2.0,,50.02255639097744,13.0,1.0,,,0.1705837755875663,0.2631105394665809,1.7066073067429754,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,13
2001,Henrik Larsson,2-1-2,482.0,4.0,7.712062256809339,1.0,,50.02255639097744,0.0,0.0,,,0.7468879668049793,1.4400116247154364,9.34031135931114,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,14
2001,Alessandro Nesta,21-7-10,3379.0,0.0,7.712062256809339,0.0,,50.02255639097744,7.0,0.0,,,0.0,0.205411542797526,1.3323557487978603,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,14
2002,Ronaldo,17-2-3,1360.0,15.0,7.712062256809339,0.0,,50.02255639097744,0.0,0.0,,,0.9926470588235294,0.5103570611123827,3.31031623175586,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,1
2002,Roberto Carlos,32-10-8,4368.0,6.0,7.712062256809339,0.0,,50.02255639097744,9.0,0.0,,,0.1236263736263736,0.1589023816650275,1.0306845410228869,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,2
2002,Zinedine Zidane,23-9-9,3489.0,10.0,7.712062256809339,0.0,,50.02255639097744,4.0,0.0,,,0.2579535683576956,0.1989353978540672,1.2903496919426682,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,4
2002,Michael Ballack,32-8-11,4454.0,26.0,7.712062256809339,3.0,,50.02255639097744,19.0,1.0,,,0.5253704535249214,0.1558342171335519,1.0107835822155298,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,5
2002,Thierry Henry,27-10-9,3865.0,31.0,5.0,6.0,,50.02255639097744,6.0,1.0,,,0.721862871927555,0.1164294954721863,1.164820200566098,5.0,0.0,0.0,0.0,0.0,0.0,0,6
2002,Raúl,30-12-9,4506.0,23.0,7.712062256809339,0.0,,50.02255639097744,2.0,0.0,,,0.459387483355526,0.1540358639842078,0.9991189691939568,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,7
2003,Rivaldo,21-6-8,2251.0,7.0,7.712062256809339,1.0,,50.02255639097744,1.0,0.0,,,0.2798756108396268,0.3083454478511064,2.00001336081207,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,8
2002,Yıldıray Baştürk,32-11-13,4367.0,4.0,7.712062256809339,0.0,,50.02255639097744,13.0,0.0,,,0.082436455232425,0.1589387687457844,1.0309205576340668,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,9
