Year,Player,Result,Min,Gls,Ast,PK,Sh,SoT,CrdY,CrdR,Int,TklW,SoTA,GA,Saves,Save%,CS,is_goalkeeper
2003,Alessandro Del Piero,19-12-6,"2,966",21.0,,7.0,,,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2003,Roy Makaay,27-7-15,"4,126",38.0,,3.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2004,Andriy Shevchenko,30-8-3,"3,444",28.0,,1.0,,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2004,Deco,29-12-3,"3,676",4.0,,0.0,,,17.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2004,Ronaldinho,24-9-6,"3,200",18.0,,2.0,,,12.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2004,Thierry Henry,33-14-4,"4,578",37.0,6.0,7.0,,,5.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2004,Theodoros Zagorakis,3-3-6,"1,065",0.0,,0.0,,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2004,Adriano,13-8-6,"2,028",18.0,,2.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2004,Pavel Nedvěd,25-6-8,"3,244",8.0,,0.0,,,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2004,Wayne Rooney,10-12-16,"2,694",13.0,4.0,0.0,,,12.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2004,Ricardo Carvalho,32-12-2,"4,124",3.0,,0.0,,,14.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2004,Ruud van Nistelrooy,25-9-10,"3,805",28.0,2.0,3.0,,,4.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2004,Angelos Charisteas,18-6-4,"1,205",6.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2004,Cristiano Ronaldo,23-5-11,"2,175",6.0,4.0,0.0,,,6.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2004,Milan Baroš,10-6-5,"1,117",7.0,3.0,0.0,,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2004,Zlatan Ibrahimović,20-9-5,"2,369",17.0,,1.0,,,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2004,Samuel Eto'o,17-5-17,"3,287",21.0,,6.0,,,4.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2005,Ronaldinho,30-10-7,"4,096",16.0,,6.0,,,7.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2005,Frank Lampard,40-11-5,"5,003",20.0,18.0,3.0,,,7.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
